t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,x,y,name
0.91505611,0.916006665,0.916860142,0.915547919,0.913051931,0.910982642,0.911737721,0.933520235,0.959910887,0.981510559,0.999566081,1.006035047,1.012285804,1.008349097,1.00510309,0.991600539,0.96760393,0.937329792,0.907495044,0.908811874,0.908602419,0.908175134,0.91152645,0.920775957,500,280,Bus10
0.914421139,0.915394441,0.916253783,0.914931146,0.91241394,0.910285788,0.910969922,0.933448608,0.960423035,0.982619303,1.001034449,1.007728811,1.01408065,1.010049937,1.00671616,0.992927487,0.968377993,0.937350178,0.906711746,0.907975357,0.90778787,0.907404821,0.910789364,0.920111528,500,300,Bus11
0.913293821,0.914307639,0.915177406,0.913836243,0.91128125,0.909048088,0.909607509,0.933414695,0.961492902,0.984815717,1.003908648,1.011026778,1.017568071,1.013359616,1.009859462,0.995530177,0.969938168,0.93749289,0.905388894,0.906546105,0.906396014,0.906088319,0.909479894,0.91893163,500,320,Bus12
0.907037446,0.908280649,0.909208027,0.907764037,0.904998914,0.90253656,0.902670281,0.930822702,0.96328044,0.991092973,1.012878341,1.021716182,1.029033198,1.024142223,1.02001403,1.003584731,0.973826354,0.935526563,0.902445222,0.903109405,0.903037819,0.902890937,0.902669257,0.912359578,500,340,Bus13
0.904635096,0.905967343,0.906916976,0.905433156,0.902586261,0.901586532,0.901663706,0.929742816,0.963818601,0.993276858,1.016045055,1.025511557,1.033112312,1.027974416,1.02361955,1.00642744,0.975143931,0.934674204,0.901483057,0.90195967,0.901912602,0.901816409,0.901672269,0.909834776,500,360,Bus14
0.903293116,0.904675268,0.905637395,0.904131124,0.901237712,0.900823743,0.900860993,0.930225065,0.965978706,0.997129683,1.020903744,1.030994176,1.038870231,1.03346696,1.028861434,1.010861036,0.978023456,0.935438819,0.900753084,0.901020474,0.900995579,0.900944761,0.900868813,0.908426352,500,380,Bus15
0.902070185,0.903497929,0.904471476,0.902944623,0.900008296,0.9,0.9,0.931440266,0.969275349,1.002517405,1.027528416,1.038376161,1.046583778,1.040850424,1.035930429,1.016927887,0.982177585,0.937021428,0.9,0.9,0.9,0.9,0.9,0.907144026,500,400,Bus16
0.900342645,0.900354315,0.901358278,0.900333547,0.900343322,0.900371664,0.900357576,0.931924635,0.973367198,1.010237697,1.037387562,1.049573222,1.058370909,1.052083227,1.046642536,1.025940214,0.987862787,0.938088102,0.900185697,0.900459868,0.900448825,0.900426026,0.90039192,0.903697715,500,420,Bus17
0.9,0.9,0.900846501,0.9,0.9,0.9,0.9,0.933949555,0.977351474,1.016171554,1.044464479,1.057337696,1.066432553,1.059835045,1.054095517,1.032455009,0.992606468,0.940484176,0.9,0.9,0.9,0.9,0.9,0.903134682,500,440,Bus18
0.992353315,0.992306017,0.992393988,0.992288992,0.992016239,0.991875525,0.992363388,0.993118004,0.994499418,0.995744587,0.996852651,0.996505412,0.997099261,0.997041205,0.997002589,0.996258543,0.995476419,0.993927469,0.991885064,0.99181972,0.992078591,0.992086767,0.991996148,0.992839574,350,220,Bus19
0.988247868,0.988341295,0.988463561,0.988297433,0.987901559,0.987402834,0.987448419,0.993035553,0.998652543,1.004395718,1.008347898,1.00977717,1.011207512,1.01038409,1.009639372,1.006602747,1.00155273,0.99450663,0.986654347,0.98620617,0.986613071,0.986917982,0.987265864,0.988517799,350,240,Bus20
0.987604011,0.987719555,0.987847223,0.987671472,0.987256204,0.986701156,0.986689628,0.993627111,1.000372726,1.007304489,1.012005022,1.013891267,1.015535285,1.014506837,1.013570324,1.009921894,1.003750635,0.995290792,0.985895456,0.985324948,0.985755163,0.986106797,0.986523679,0.987839996,350,260,Bus21
0.986876162,0.987016757,0.987150538,0.986963895,0.986526678,0.985907835,0.985849008,0.995146053,1.00382114,1.012776008,1.018747175,1.021401078,1.023402485,1.022022951,1.020755863,1.016061609,1.007987152,0.997152132,0.98512463,0.984328165,0.984784734,0.98518935,0.985684451,0.987073668,350,280,Bus22
0.974974283,0.975212362,0.975486225,0.975108197,0.974499268,0.972294093,0.971510392,0.974100126,0.977718014,0.978776987,0.982330604,0.982078367,0.984142449,0.984054989,0.98404739,0.981816792,0.978947286,0.975320241,0.968726279,0.968831382,0.96967074,0.971089604,0.973201937,0.97671491,850,180,Bus23
0.969069489,0.969512781,0.969837361,0.969369291,0.968579758,0.965843554,0.964253074,0.966413714,0.970238647,0.971546991,0.975274524,0.97523692,0.97742961,0.977358807,0.977399112,0.975155096,0.971980768,0.967467161,0.960363633,0.960694741,0.961755555,0.963616634,0.966381354,0.970503982,850,200,Bus24
0.966134435,0.966680123,0.967030009,0.966517012,0.96563735,0.962635999,0.960642366,0.962588497,0.966517097,0.967950155,0.971764715,0.971834353,0.974091344,0.974028859,0.974093092,0.971842316,0.968515623,0.963558602,0.956199775,0.956644016,0.957815679,0.959898081,0.962988975,0.967416172,850,220,Bus25
0.940325352,0.940199549,0.940828752,0.939926975,0.938265475,0.93524492,0.939759544,0.953146773,0.967476799,0.97614156,0.986478772,0.987519082,0.991373156,0.989291798,0.987718653,0.980037698,0.968062301,0.955573426,0.933123579,0.93282935,0.934715387,0.933984632,0.937578691,0.948117128,850,300,Bus26
0.938311534,0.938255966,0.93890341,0.937969465,0.936243322,0.933036375,0.937304601,0.951603143,0.966830672,0.976436578,0.987357764,0.988785345,0.992821089,0.990596318,0.988896091,0.980771427,0.967899707,0.954130954,0.93035577,0.93002819,0.931999265,0.931419439,0.935244998,0.946010321,850,320,Bus27
0.928915538,0.929188638,0.929920965,0.928837184,0.926809856,0.922733171,0.925824187,0.943428947,0.962093308,0.975293928,0.988442783,0.991374225,0.996122587,0.993370463,0.991213137,0.981435447,0.965126675,0.946284396,0.917336086,0.916952498,0.919319916,0.919447772,0.924354109,0.936173133,850,340,Bus28
0.92216742,0.922677616,0.923471221,0.922279286,0.92003451,0.915329625,0.917574121,0.937734586,0.958992803,0.974889956,0.989700242,0.993746263,0.999021041,0.995873316,0.993371735,0.982356969,0.963480672,0.940850339,0.907985308,0.907542201,0.910197733,0.910837929,0.916526238,0.929107371,850,360,Bus29
0.918978513,0.919602026,0.920424862,0.919181319,0.916832719,0.911827329,0.913674605,0.935505788,0.958341629,0.975872787,0.991681534,0.996384614,1.001963184,0.998569762,0.995848203,0.984071816,0.963654248,0.938811673,0.903593633,0.903319213,0.905868943,0.906756277,0.912820238,0.925765963,850,380,Bus30
0.914776251,0.915550517,0.916411692,0.915100291,0.912615055,0.907212593,0.908548765,0.933665848,0.959401092,0.979931291,0.997553584,1.003430746,1.009538576,1.005682493,1.002536336,0.9893418,0.966124299,0.937379621,0.900715226,0.900945033,0.900921637,0.901370369,0.907931884,0.921353876,850,400,Bus31
0.914004327,0.914806018,0.915674269,0.914350376,0.911840008,0.906364808,0.907619534,0.933823371,0.960451427,0.981898511,1.000072853,1.006296775,1.012558456,1.008556059,1.005272369,0.991634132,0.96756786,0.937683843,0.900077268,0.90020524,0.900200331,0.900382373,0.907034811,0.92054507,850,420,Bus32
0.913748726,0.914559562,0.915430172,0.914102114,0.911583365,0.906083882,0.907329741,0.934753815,0.962324675,0.984738142,1.003490434,1.010068787,1.01648397,1.012322585,1.008886188,0.994771291,0.969818057,0.938789818,0.9,0.9,0.9,0.900054533,0.906737409,0.92027716,850,440,Bus33
